,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,normalized_price
3002,10175507,SOCO Congress Cozy Humble Abode,25768652,Callie,,78704,30.226165165511517,-97.75505902293592,Entire home/apt,80,2,11,2016-09-19,0.35,1,0,0.056261343012704176
3003,10177780,Charming Cherrywood home,1022018,Libbey,,78722,30.29679957460225,-97.71643132209387,Entire home/apt,400,1,2,2016-03-20,0.06,1,0,0.6370235934664247
3004,10190156,Cozy Bungalow in Hill Country,4459107,CJ And Katie,,78737,30.143506157111613,-97.95740987559526,Entire home/apt,85,2,85,2018-09-03,2.71,3,156,0.06533575317604355
3005,10190716,"Hyde Park HideOut, close to UT.",9728130,Julie,,78751,30.310274479626575,-97.72632319579508,Private room,94,30,1,2016-07-25,0.04,2,0,0.08166969147005444
3006,10205576,2 Bed 2 Bath Bungalow,23091189,Suzie And Scott,,78722,30.28203243186735,-97.71796815730026,Entire home/apt,267,5,4,2018-03-17,0.13,1,10,0.3956442831215971
3007,10209163,1 Bdrm Condo; 1 Blk to UT;  1 mi DT Austin,41287584,Margie,,78705,30.291849272524484,-97.73448289003349,Entire home/apt,115,3,7,2017-02-04,0.26,4,88,0.11978221415607986
3008,10209590,Indigo Moon Room,2742367,Kris,,78753,30.36721843455852,-97.67978309296059,Private room,52,2,20,2018-05-28,0.69,1,91,0.0054446460980036296
3009,10234161,Side City View,12810791,Igor,,78741,30.219632453739425,-97.74303432338002,Private room,75,1,1,2018-08-15,1.0,1,171,0.047186932849364795
3010,10248239,Private Central Bungalow,2675835,Hiliary,,78705,30.29622397108736,-97.7455393152634,Entire home/apt,70,1,48,2018-09-09,3.84,1,50,0.038112522686025406
3011,10253761,Pool side in Austin's hip St. Elmo district.,7742635,David,,78745,30.207802008767533,-97.76519099856476,Private room,70,2,8,2018-08-06,0.59,1,332,0.038112522686025406
3012,10254489,Hyde Park Historic District Home,578211,Pete,,78751,30.311988000175056,-97.72513619006645,Entire home/apt,132,5,28,2018-06-09,0.93,9,336,0.15063520871143377
3013,10265313,Lovely house in South Austin,2152045,Peggy,,78745,30.214320230370127,-97.80404987874664,Entire home/apt,500,1,0,,,1,0,0.8185117967332124
3014,10268403,Zen Cottage in Trendy East Austin by downtown,14484953,Lindsay,,78702,30.25151691649632,-97.72278486353386,Entire home/apt,130,3,3,2018-03-15,0.1,2,1,0.147005444646098
3015,10268720,Travis Heights Apartment,52799452,Greg,,78704,30.23926671248175,-97.74002115153073,Entire home/apt,305,1,0,,,1,0,0.4646098003629764
3016,10273573,Cozy apartment near downtown!,16754082,Stephanie,,78705,30.292863162213997,-97.744380764409,Entire home/apt,150,3,2,2016-03-20,0.06,1,0,0.18330308529945555
3017,10293014,Fully Renovated Home for SXSW,2637553,Missy,,78745,30.207901302768782,-97.7654899803882,Entire home/apt,500,4,3,2016-12-26,0.1,1,0,0.8185117967332124
3018,10297572,Comfortable Room in All-Vegan Home,29604632,Brenda,,78751,30.30267185863417,-97.72974237472248,Private room,70,7,0,,,1,0,0.038112522686025406
3019,10308994,"4 Bd, 3 Ba, Huge Yard, 6 mi to DT",15782486,Top Trip Rentals,,78723,30.317836984356557,-97.6775000471251,Entire home/apt,288,1,46,2018-08-13,1.56,32,337,0.4337568058076225
3020,10318942,Hidden Bamboo Retreat-Private Suite,418429,Haripriya,,78704,30.233063000259513,-97.77922049593036,Private room,125,2,0,,,2,79,0.13793103448275862
3021,10319067,Comfortable home in Austin's northeast side,18614729,David,,78723,30.313929588223747,-97.68455180369637,Private room,90,2,0,,,1,90,0.07441016333938294
3022,10331035,"Cool Artistic ""Treehouse"" Cabin",44487,C.,,78704,30.24600551729721,-97.73953086396807,Entire home/apt,133,1,207,2018-08-26,6.37,2,321,0.15245009074410162
3023,10336181,NEW! Double Rooftop & Modern,27784340,Jacqueline,,78702,30.25472062492969,-97.72030898736124,Entire home/apt,149,3,101,2018-08-18,3.13,1,316,0.18148820326678766
3024,10340419,Cute Apartment-Central Austin,35580527,Simon,,78751,30.31255962537654,-97.70935912852268,Entire home/apt,99,1,111,2018-08-27,3.41,2,69,0.09074410163339383
3025,10341129,Lovely room in beautiful Oak Hill,53220392,Julia,,78749,30.225405797744212,-97.86320888458141,Private room,85,1,15,2017-02-24,0.46,3,0,0.06533575317604355
3026,10355760,Funky Apartment Near Downtown and Zilker Park!,48201503,Lela,,78704,30.251139924803372,-97.77453158948349,Entire home/apt,75,4,11,2017-10-16,0.57,1,0,0.047186932849364795
